,distance_wheelchair,speed_wheelchair,acceleration_wheelchair,distance_tracker,speed_tracker,acceleration_tracker,danger_tracker,distance_drone,speed_drone,acceleration_drone,distance_range,speed_range,acceleration_range,wheelchair_data,drone_data,tracker_data,range_data
4.47,,0.0,0.0,2.2523,0.4915369328862753,0.4571656010438465,0.9361404541024719,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,True,False
4.48,,0.0,0.0,2.2523,0.4915369328862753,0.4571656010438465,0.9361404541024719,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,False,False
4.49,,0.0,0.0,2.2523,0.4915369328862753,0.4571656010438465,0.9361404541024719,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,False,False
4.5,,0.0,0.0,2.2523,0.4915369328862753,0.4571656010438465,0.9361404541024719,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,False,False
4.51,,0.0,0.0,2.2354,0.5074104747776688,0.47659180044468047,0.9595240391830134,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,True,False
4.52,,0.0,0.0,2.2354,0.5074104747776688,0.47659180044468047,0.9595240391830134,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,False,False
4.53,,0.0,0.0,2.2354,0.5074104747776688,0.47659180044468047,0.9595240391830134,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,False,False
4.54,,0.0,0.0,2.2182,0.5151902034306386,0.23302558066039084,0.9651589787852726,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,True
4.55,,0.0,0.0,2.2182,0.5151902034306386,0.23302558066039084,0.9651589787852726,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,False
4.56,,0.0,0.0,2.2182,0.5151902034306386,0.23302558066039084,0.9651589787852726,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,False
4.57,,0.0,0.0,2.201,0.5170854658098336,0.05697747849871604,0.9708956048891669,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,True,False
4.58,,0.0,0.0,2.201,0.5170854658098336,0.05697747849871604,0.9708956048891669,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,False
4.59,,0.0,0.0,2.201,0.5170854658098336,0.05697747849871604,0.9708956048891669,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,False
4.6,,0.0,0.0,2.1841,0.5079805243272817,-0.27367650581514225,0.976634011212166,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,False
4.61,,0.0,0.0,2.1841,0.5079805243272817,-0.27367650581514225,0.976634011212166,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,False
4.62,,0.0,0.0,2.1841,0.5079805243272817,-0.27367650581514225,0.976634011212166,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,False
4.63,,0.0,0.0,2.1841,0.5079805243272817,-0.27367650581514225,0.976634011212166,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,False
4.64,,0.0,0.0,2.1676,0.4916257951823655,-0.48729737702192516,0.9640560793177746,,0.0,0.0,2.2242,0.2723401348687238,1.1136698308884287,False,False,False,False
4.65,,0.0,0.0,2.1676,0.4916257951823655,-0.48729737702192516,0.9640560793177746,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,True
4.66,,0.0,0.0,2.1676,0.4916257951823655,-0.48729737702192516,0.9640560793177746,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,False
4.67,,0.0,0.0,2.1514,0.48609457456043,-0.16596890956911226,0.9575034612176242,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,True,False
4.68,,0.0,0.0,2.1514,0.48609457456043,-0.16596890956911226,0.9575034612176242,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,False
4.69,,0.0,0.0,2.1514,0.48609457456043,-0.16596890956911226,0.9575034612176242,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,False
4.7,,0.0,0.0,2.1514,0.48609457456043,-0.16596890956911226,0.9575034612176242,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,False
4.71,,0.0,0.0,2.1359,0.4647763124563453,-0.6392402095944602,0.9158082710730615,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,True,False
4.72,,0.0,0.0,2.1359,0.4647763124563453,-0.6392402095944602,0.9158082710730615,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,False
4.73,,0.0,0.0,2.1359,0.4647763124563453,-0.6392402095944602,0.9158082710730615,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,False
4.74,,0.0,0.0,2.1209,0.4486779435187532,-0.4815322045949973,0.8850985688887392,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,True,False
4.75,,0.0,0.0,2.1209,0.4486779435187532,-0.4815322045949973,0.8850985688887392,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,False
4.76,,0.0,0.0,2.1209,0.4486779435187532,-0.4815322045949973,0.8850985688887392,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,False
4.77,,0.0,0.0,2.1063,0.4412509961392219,-0.22446218695149403,0.8733042544438279,,0.0,0.0,2.2369999999999997,0.0,-2.6333761206175237,False,False,False,False
4.78,,0.0,0.0,2.1063,0.4412509961392219,-0.22446218695149403,0.8733042544438279,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,False,False
4.79,,0.0,0.0,2.1063,0.4412509961392219,-0.22446218695149403,0.8733042544438279,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,False,False
4.8,,0.0,0.0,2.1063,0.4412509961392219,-0.22446218695149403,0.8733042544438279,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,False,False
4.81,,0.0,0.0,2.0917,0.4372857898651388,-0.11876221626990627,0.8691761911702643,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,True,False
4.82,,0.0,0.0,2.0917,0.4372857898651388,-0.11876221626990627,0.8691761911702643,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,False,False
4.83,,0.0,0.0,2.0917,0.4372857898651388,-0.11876221626990627,0.8691761911702643,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,False,False
4.84,,0.0,0.0,2.0772,0.43190630695205373,-0.16023673091739613,0.861804372009711,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,True,False
4.85,,0.0,0.0,2.0772,0.43190630695205373,-0.16023673091739613,0.861804372009711,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,False,False
4.86,,0.0,0.0,2.0772,0.43190630695205373,-0.16023673091739613,0.861804372009711,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,False,False
4.87,,0.0,0.0,2.0624,0.45313638964439085,0.6500083123687442,0.9148618360304392,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,True,False
4.88,,0.0,0.0,2.0624,0.45313638964439085,0.6500083123687442,0.9148618360304392,,0.0,0.0,2.1904000000000003,0.34695220505547814,2.583172373237346,False,False,False,False
4.89,,0.0,0.0,2.0624,0.45313638964439085,0.6500083123687442,0.9148618360304392,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,False,True
4.9,,0.0,0.0,2.0624,0.45313638964439085,0.6500083123687442,0.9148618360304392,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,False,False
4.91,,0.0,0.0,2.0473,0.448458301337367,-0.13893559838901434,0.9095284410271668,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,True,False
4.92,,0.0,0.0,2.0473,0.448458301337367,-0.13893559838901434,0.9095284410271668,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,False,False
4.93,,0.0,0.0,2.0473,0.448458301337367,-0.13893559838901434,0.9095284410271668,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,False,False
4.94,,0.0,0.0,2.0317,0.467082873436351,0.557642221315122,0.9578562485127964,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,True,False
4.95,,0.0,0.0,2.0317,0.467082873436351,0.557642221315122,0.9578562485127964,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,False,False
4.96,,0.0,0.0,2.0317,0.467082873436351,0.557642221315122,0.9578562485127964,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,False,False
4.97,,0.0,0.0,2.0158,0.47682544374155383,0.2921701515070236,0.9864083016579646,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,True,False
4.98,,0.0,0.0,2.0158,0.47682544374155383,0.2921701515070236,0.9864083016579646,,0.0,0.0,2.1382000000000003,0.4701442207926954,1.1095405028094916,False,False,False,False
4.99,,0.0,0.0,2.0158,0.47682544374155383,0.2921701515070236,0.9864083016579646,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,False,True
5.0,,0.0,0.0,2.0158,0.47682544374155383,0.2921701515070236,0.9864083016579646,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,False,False
5.01,,0.0,0.0,1.9997,0.47805575614761187,0.03653154829663726,0.9956442953042864,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,True,False
